Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C_9,C5,100nF,SMD-0805,1,
2,,C_8,C6,100nF,SMD-0805,1,
3,,C_10,C8,100nF,SMD-0805,1,
4,,C_12,C2,10uF,SMD-0805,1,
5,,C_13,C3,10uF,SMD-0805,1,
6,,C_14,C4,10uF,SMD-0805,1,
7,,CP_2,C7,47uF,TantalC_SizeC_Reflow,1,
8,,C_11,C1,10uF/16V,SMD-0805,1,
9,,D_ZENER_2,D1,SMBJ15A-E3/52,Diode-SMB_Standard,1,
10,,D_4xZENER_3,D2,SP1001-04XTG,SOT-553,1,
11,,D_4xZENER_4,D3,SP1001-04XTG,SOT-553,1,
12,,CONN1_1_3,J16,CONN1_1,Straight_1x01,1,
13,,CONN1_1_4,J18,CONN1_1,Straight_1x01,1,
14,,CONN_3_4,J12,CONN_3,Straight_1x03,1,
15,,CONN_3_3,J15,CONN_3,Straight_1x03,1,
16,,JUMP2_2x1_6,J11,JUMP2_2x1,Straight_2x01,1,
17,,JUMP2_2x1_4,J14,JUMP2_2x1,Straight_2x01,1,
18,,JUMP2_2x1_5,J17,JUMP2_2x1,Straight_2x01,1,
19,,JUMP_2x1_17,J19,JUMP_2x1,Straight_1x02,1,
20,,JUMP_2x1_15,J20,JUMP_2x1,Straight_1x02,1,
21,,JUMP_2x1_16,J21,JUMP_2x1,Straight_1x02,1,
22,,JUMP_2x1_18,J22,JUMP_2x1,Straight_1x02,1,
23,,JUMP_2x1_14,J23,JUMP_2x1,Straight_1x02,1,
24,,JUMP_2x1_13,J3,JUMP_2x1,Straight_1x02,1,
25,,JUMP_2x1_24,J4,JUMP_2x1,Straight_2x01,1,
26,,JUMP_2x1_19,J5,JUMP_2x1,Straight_2x01,1,
27,,JUMP_2x1_20,J6,JUMP_2x1,Straight_2x01,1,
28,,JUMP_2x1_21,J7,JUMP_2x1,Straight_2x01,1,
29,,JUMP_2x1_22,J8,JUMP_2x1,Straight_2x01,1,
30,,JUMP_2x1_23,J9,JUMP_2x1,Straight_2x01,1,
31,,JUMP_3X2_4,J10,JUMP_3X2,Straight_2x03,1,
32,,JUMP_3X2_3,J13,JUMP_3X2,Straight_2x03,1,
33,,JUMP_4X2_2,J1,JUMP_4X2,Straight_2x04,1,
34,,RJ45_RJHSE-5384_2,J2,RJ45_RJHSE-5384,RJHSE-5384(RJ45),1,
35,,R_24,R10,120,SMD-0805,1,
36,,R_26,R4,120,SMD-0805,1,
37,,R_21,R7,120,SMD-0805,1,
38,,R_23,R11,620,SMD-0805,1,
39,,R_27,R3,620,SMD-0805,1,
40,,R_25,R5,620,SMD-0805,1,
41,,R_18,R6,620,SMD-0805,1,
42,,R_22,R8,620,SMD-0805,1,
43,,R_17,R9,620,SMD-0805,1,
44,,R_29,R1,1k,SMD-0805,1,
45,,R_16,R12,1k,SMD-0805,1,
46,,R_30,R15,1k,SMD-0805,1,
47,,R_28,R2,1k,SMD-0805,1,
48,,R_19,R13,4k7,SMD-0805,1,
49,,R_20,R14,4k7,SMD-0805,1,
50,,LM1117_4,U2,LM1117 3V3,SOT-223,1,
51,,LM1117_3,U1,LM1117 5V,SOT-223,1,
52,,PCA9616_2,U3,PCA9616,TSSOP-16_4.4x5mm_Pitch0.65mm,1,
