Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","JUMP_4X2","Straight_2x04",36.8300,13.7160,0.0000,top
"J2","RJ45_RJHSE-5384","RJHSE-5384(RJ45)",13.9700,5.8420,0.0000,top
"J3","JUMP_2x1","Straight_1x02",5.0165,35.3695,90.0000,top
"J4","JUMP_2x1","Straight_2x01",14.2240,19.3040,90.0000,top
"J5","JUMP_2x1","Straight_2x01",16.7640,19.3040,90.0000,top
"J6","JUMP_2x1","Straight_2x01",19.3040,19.3040,90.0000,top
"J7","JUMP_2x1","Straight_2x01",21.8440,19.3040,90.0000,top
"J8","JUMP_2x1","Straight_2x01",24.3840,19.3040,90.0000,top
"J9","JUMP_2x1","Straight_2x01",26.9240,19.3040,90.0000,top
"J10","JUMP_3X2","Straight_2x03",36.4490,37.7190,0.0000,top
"J11","JUMP2_2x1","Straight_2x01",28.7020,37.7190,-90.0000,top
"J12","CONN_3","Straight_1x03",14.9860,39.6240,0.0000,top
"J13","JUMP_3X2","Straight_2x03",23.3680,46.8630,90.0000,top
"J14","JUMP2_2x1","Straight_2x01",5.0165,37.9095,0.0000,top
"J15","CONN_3","Straight_1x03",12.4460,39.6240,0.0000,top
"J16","CONN1_1","Straight_1x01",3.7592,40.4368,0.0000,top
"J17","JUMP2_2x1","Straight_2x01",34.4805,23.1775,0.0000,top
"J18","CONN1_1","Straight_1x01",6.2992,40.4368,0.0000,top
"J19","JUMP_2x1","Straight_1x02",4.9530,21.2090,90.0000,top
"J20","JUMP_2x1","Straight_1x02",4.9530,13.5890,90.0000,top
"J21","JUMP_2x1","Straight_1x02",4.9530,16.1290,90.0000,top
"J22","JUMP_2x1","Straight_1x02",4.9530,18.6690,90.0000,top
"J23","JUMP_2x1","Straight_1x02",4.9530,11.0490,90.0000,top
"M1","HOLE","MountingHole_3mm",5.0800,45.7200,0.0000,top
"M2","HOLE","MountingHole_3mm",35.5600,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M4","HOLE","MountingHole_3mm",35.5600,45.7200,0.0000,top
